cast,title,year
Chris Evans,Fantastic 4: Rise of the Silver Surfer,2007-06-13
Jessica Alba,Fantastic 4: Rise of the Silver Surfer,2007-06-13
Kate Winslet,Divergent,2014-03-14
Kristen Wiig,Bridesmaids,2011-04-28
Rose Byrne,Bridesmaids,2011-04-28
Bill Pullman,Casper,1995-05-26
Renée Zellweger,Bee Movie,2007-10-28
Christopher Plummer,The Sound of Music,1965-03-02
Morgan Freeman,Oblivion,2013-04-10
Jodie Foster,Elysium,2013-08-07
Joe Pesci,Lethal Weapon 4,1998-07-10
Danny Glover,Lethal Weapon 4,1998-07-10
Samantha Morton,John Carter,2012-03-07
Ryan Reynolds,Turbo,2013-07-11
Paul Giamatti,Turbo,2013-07-11
Renée Zellweger,Bridget Jones's Diary,2001-04-13
Hugh Grant,Bridget Jones's Diary,2001-04-13
Colin Firth,Bridget Jones's Diary,2001-04-13
Michael Keaton,Batman Returns,1992-06-19
Michelle Pfeiffer,Batman Returns,1992-06-19
Danny DeVito,Batman Returns,1992-06-19
Samuel L. Jackson,xXx,2002-08-09
Vin Diesel,xXx,2002-08-09
Rachel Weisz,The Bourne Legacy,2012-08-08
Edward Norton,The Bourne Legacy,2012-08-08
Sarah Michelle Gellar,Scooby-Doo,2002-06-14
Freddie Prinze Jr.,Scooby-Doo,2002-06-14
Jon Voight,Lara Croft: Tomb Raider,2001-06-11
Sylvester Stallone,The Expendables,2010-08-03
Jason Statham,The Expendables,2010-08-03
Renée Zellweger,Jerry Maguire,1996-12-06
Cuba Gooding Jr.,Jerry Maguire,1996-12-06
Martin Lawrence,Bad Boys II,2003-07-18
Anthony Hopkins,The Silence of the Lambs,1991-02-01
Jodie Foster,The Silence of the Lambs,1991-02-01
Adam Sandler,Grown Ups,2010-06-24
Salma Hayek,Grown Ups,2010-06-24
Maria Bello,Grown Ups,2010-06-24
Gene Hackman,The Firm,1993-06-30
Jennifer Aniston,We're the Millers,2013-08-07
Clint Eastwood,Gran Torino,2008-12-09
Colin Farrell,Epic,2013-05-15
Seth Rogen,Neighbors,2014-05-08
Rose Byrne,Neighbors,2014-05-08
Zac Efron,Neighbors,2014-05-08
Christian Bale,Exodus: Gods and Kings,2014-12-03
