cast,revenue,popularity,vote_average,name
2819,0,6.379933,5.9,Julia Roberts
2683,309979994,41.845878,6.3,John Travolta
2683,253625427,31.719463,5.6,John Travolta
2683,245676146,46.075037,6.8,John Travolta
2683,213928762,121.463076,8.3,John Travolta
2683,181813770,67.608041,7.2,John Travolta
2683,152036382,15.039407,6.2,John Travolta
2683,150270147,22.769108,5.7,John Travolta
2683,150166126,40.597856,6.2,John Travolta
2683,149705852,18.345613,6.1,John Travolta
2683,147080413,36.788745,6.1,John Travolta
2683,115101622,15.585138,6.4,John Travolta
2683,95226116,18.61472,5.4,John Travolta
2683,92219310,13.707843,5.2,John Travolta
2683,90450008,31.160542,6.5,John Travolta
2683,74541707,10.99991,6.2,John Travolta
2683,56702901,10.147321,6.1,John Travolta
2683,54700105,35.099611,6.1,John Travolta
2683,54249294,8.41856,5.4,John Travolta
2683,52826594,27.916284,6.1,John Travolta
2683,42792561,19.226763,6.2,John Travolta
2683,21400000,7.89147,3.0,John Travolta
2683,12000000,13.628601,7.3,John Travolta
2683,10541523,3.314004,5.9,John Travolta
2683,0,9.110247,6.1,John Travolta
2683,0,2.952595,4.9,John Travolta
2683,0,10.144222,4.5,John Travolta
2683,0,6.665164,5.8,John Travolta
1852,716392705,110.153618,7.3,George Clooney
1852,450717150,60.929352,7.2,George Clooney
1852,362744280,76.840712,6.4,George Clooney
1852,325756637,25.752118,6.2,George Clooney
1852,311312624,42.069993,6.5,George Clooney
1852,238207122,50.073575,4.2,George Clooney
1852,209154322,130.311355,6.2,George Clooney
1852,177243185,40.903931,6.7,George Clooney
1852,163720069,31.941347,6.5,George Clooney
1852,163670000,33.704181,6.7,George Clooney
1852,154984035,43.873266,5.8,George Clooney
1852,119940815,22.620125,5.8,George Clooney
1852,108000000,34.973086,6.6,George Clooney
1852,94000000,16.871194,6.3,George Clooney
1852,93282604,38.279458,6.5,George Clooney
1852,92991835,18.961323,6.5,George Clooney
1852,77745568,16.000178,6.5,George Clooney
1852,75993061,20.317469,6.5,George Clooney
1852,71868327,39.742009,7.3,George Clooney
1852,68729358,20.69219,5.9,George Clooney
1852,65464324,18.632156,5.8,George Clooney
1852,63647656,39.006187,5.7,George Clooney
1852,46471023,41.258956,7.5,George Clooney
1852,41299492,7.739276,5.7,George Clooney
1852,25836616,64.181668,6.9,George Clooney
1852,5914908,5.347936,5.9,George Clooney
1852,0,15.931084,5.8,George Clooney
2001,786636033,75.674458,5.7,Harrison Ford
2001,775398007,126.393695,8.1,Harrison Ford
2001,572700000,46.509071,7.9,Harrison Ford
2001,538400000,78.51783,8.2,Harrison Ford
2001,474171806,80.972475,7.6,Harrison Ford
2001,389925971,68.159596,7.7,Harrison Ford
2001,368875760,54.884297,7.2,Harrison Ford
2001,333000000,66.976776,7.1,Harrison Ford
2001,315156409,36.38795,6.2,Harrison Ford
2001,215887717,18.832471,6.4,Harrison Ford
2001,206172544,61.025639,6.1,Harrison Ford
2001,178051587,19.637704,6.3,Harrison Ford
2001,164000000,18.264635,5.6,Harrison Ford
2001,155464351,15.835672,6.3,Harrison Ford
2001,140807547,15.350451,5.9,Harrison Ford
2001,125537191,45.94834,6.6,Harrison Ford
2001,95020213,31.884559,6.8,Harrison Ford
2001,82800000,18.186026,5.6,Harrison Ford
2001,74608570,4.137237,5.3,Harrison Ford
2001,68706993,19.195399,7.0,Harrison Ford
2001,65663276,82.052056,7.4,Harrison Ford
2001,58785180,22.491388,6.1,Harrison Ford
2001,51142659,10.605084,5.0,Harrison Ford
2001,35168966,15.625949,6.1,Harrison Ford
2001,33139618,94.056131,7.9,Harrison Ford
2001,15134293,6.487344,6.0,Harrison Ford
2001,7230000,5.348446,6.4,Harrison Ford
1686,924317558,54.035265,6.3,Ewan McGregor
1686,850000000,44.108427,7.1,Ewan McGregor
1686,649398328,43.987061,6.4,Ewan McGregor
1686,356613439,67.447636,6.5,Ewan McGregor
1686,260696994,29.558157,6.0,Ewan McGregor
1686,197687603,43.349855,5.5,Ewan McGregor
1686,180274123,47.559928,7.0,Ewan McGregor
1686,179213434,57.374341,7.4,Ewan McGregor
1686,172989651,44.455166,7.2,Ewan McGregor
1686,162949164,37.68056,6.5,Ewan McGregor
1686,122919055,46.199482,7.6,Ewan McGregor
1686,68729358,20.69219,5.9,Ewan McGregor
